Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
508,65,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5,Yes,Store Pickup,Yes,33,Debit Card,Fortnightly
4845,19,Female,Shirt,Accessories,692.11,New York,M,Red,Summer,,No,Express,Yes,41,Debit Card,Weekly
2098,33,Male,Sneakers,Footwear,43,Iowa,S,Cyan,Winter,3.9,No,Next Day Air,No,5,Credit Card,Weekly
1080,18,Male,Coat,Outerwear,33,Oklahoma,S,Blue,Summer,4.4,No,Free Shipping,Yes,48,Bank Transfer,Monthly
4558,41,Other,Bag,Accessories,208.02,Los Angeles,M,White,Autumn,,No,Standard,Yes,,PayPal,Monthly
4492,59,Female,Laptop,Clothing,,Phoenix,M,Green,Spring,1,Yes,Standard,Yes,38,Debit Card,Weekly
4292,27,Other,Laptop,Electronics,,Houston,,Blue,Summer,,Yes,Express,Yes,,Credit Card,Weekly
3036,69,Female,Handbag,Accessories,64,Kentucky,M,Gold,Spring,4.5,No,Free Shipping,No,18,Cash,Bi-Weekly
3554,62,Female,Shoes,Footwear,99,Minnesota,M,Charcoal,Spring,4.9,No,Free Shipping,No,32,Bank Transfer,Weekly
2077,59,Male,Gloves,Accessories,23,Florida,S,Indigo,Fall,4.6,No,Free Shipping,No,22,Debit Card,Bi-Weekly
3088,62,Female,Shirt,Clothing,84,North Carolina,M,Charcoal,Spring,3.1,No,Free Shipping,No,29,Bank Transfer,Monthly
3739,34,Female,Shorts,Clothing,45,Delaware,M,Brown,Spring,2.7,No,Free Shipping,No,48,Cash,Fortnightly
3309,55,Female,Jeans,Clothing,70,Utah,M,Pink,Fall,2.6,No,Express,No,29,Cash,Monthly
2922,20,Female,Handbag,Accessories,24,Wisconsin,M,Cyan,Fall,4.6,No,Standard,No,11,Cash,Fortnightly
4156,51,Other,Shirt,Clothing,1398.9,Chicago,XL,Red,Summer,2,Yes,Express,No,7,PayPal,Monthly
4869,26,Female,Headphones,Accessories,500.3,Phoenix,M,Red,Winter,3,No,Express,No,,PayPal,Monthly
660,62,Male,Shorts,Clothing,52,Virginia,S,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,8,Cash,Weekly
3632,48,Female,Hat,Accessories,50,New Jersey,M,Peach,Fall,2.9,No,Store Pickup,No,26,Credit Card,Monthly
3217,39,Female,Hoodie,Clothing,85,Illinois,S,Olive,Winter,3.4,No,Next Day Air,No,18,Cash,Weekly
3696,38,Female,Skirt,Clothing,33,Florida,M,White,Fall,4.6,No,Standard,No,18,Bank Transfer,Fortnightly
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly
693,35,Male,Sunglasses,Accessories,95,North Dakota,M,Cyan,Spring,4,Yes,2-Day Shipping,Yes,40,Debit Card,Every 3 Months
1837,66,Male,Pants,Clothing,52,South Carolina,M,Teal,Fall,4.2,No,2-Day Shipping,No,35,Credit Card,Monthly
598,70,Male,Jewelry,Accessories,69,Alaska,L,Gold,Summer,3.4,Yes,Standard,Yes,19,Bank Transfer,Fortnightly
165,59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,5,Credit Card,Fortnightly
1186,47,Male,Jeans,Clothing,64,Maine,M,Magenta,Spring,3.9,No,Standard,Yes,29,Credit Card,Monthly
3328,47,Female,Shorts,Clothing,64,Connecticut,M,Black,Spring,4.1,No,Express,No,2,Debit Card,Quarterly
4404,67,Male,Watch,Clothing,498.03,New York,XL,Blue,Winter,,Yes,Standard,Yes,20,Debit Card,Monthly
4153,67,Other,Shoes,Accessories,,Los Angeles,M,Red,Spring,,No,Express,No,31,Credit Card,Monthly
4587,52,Male,Laptop,Electronics,1392.02,Phoenix,,White,Winter,2,Yes,Standard,Yes,,Cash,Quarterly
4057,41,Female,Shoes,Electronics,,Los Angeles,,Black,Winter,,No,Standard,Yes,10,Credit Card,Quarterly
3889,45,Female,Sneakers,Footwear,69,Virginia,M,Violet,Spring,3.4,No,Standard,No,14,Venmo,Bi-Weekly
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually
4176,23,Male,Shoes,Clothing,390.25,Chicago,XL,Black,Autumn,,No,Standard,No,,Credit Card,Weekly
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly
3455,55,Female,Handbag,Accessories,71,Louisiana,S,Lavender,Fall,4.6,No,Store Pickup,No,15,PayPal,Bi-Weekly
2500,52,Male,Hoodie,Clothing,73,Louisiana,L,Pink,Summer,3.1,No,Next Day Air,No,2,Cash,Quarterly
2136,34,Male,Sunglasses,Accessories,94,California,S,Yellow,Winter,4.6,No,Next Day Air,No,1,Debit Card,Every 3 Months
3584,52,Female,Blouse,Clothing,77,Arizona,L,Brown,Summer,2.7,No,Store Pickup,No,44,Credit Card,Every 3 Months
4118,18,Other,Shirt,Accessories,,Phoenix,S,Black,Summer,3,Yes,Standard,No,,Debit Card,Quarterly
2547,63,Male,Boots,Footwear,21,Texas,L,Gray,Summer,3,No,Express,No,4,Credit Card,Quarterly
4972,46,Other,Bag,Accessories,34.65,New York,M,White,Autumn,4,No,Express,Yes,3,Debit Card,Monthly
3365,50,Female,Scarf,Accessories,33,Oregon,M,Peach,Fall,3.2,No,Standard,No,7,Credit Card,Monthly
1637,58,Male,Boots,Footwear,22,North Dakota,L,Green,Fall,4,No,Free Shipping,Yes,49,Cash,Fortnightly
2000,39,Male,Socks,Clothing,89,Tennessee,L,Indigo,Winter,4.6,No,2-Day Shipping,No,26,Debit Card,Monthly
2603,65,Male,Coat,Outerwear,44,South Carolina,M,Black,Fall,2.9,No,Free Shipping,No,1,Venmo,Quarterly
2700,25,Female,Boots,Footwear,96,Utah,M,Violet,Fall,3.6,No,2-Day Shipping,No,49,Debit Card,Annually
4189,38,Male,Shoes,Accessories,1312.35,Los Angeles,M,Black,Autumn,4,Yes,Standard,Yes,,Cash,Weekly
3371,30,Female,Belt,Accessories,31,Illinois,M,Charcoal,Summer,2.8,No,Store Pickup,No,46,Cash,Fortnightly
3599,23,Female,Hoodie,Clothing,76,Connecticut,XL,Purple,Spring,4.6,No,Store Pickup,No,19,Bank Transfer,Bi-Weekly
4072,63,Male,Shoes,Clothing,,Los Angeles,S,Red,Autumn,1,No,Standard,Yes,,Credit Card,Quarterly
1432,39,Male,Pants,Clothing,88,South Dakota,M,Cyan,Fall,2.9,No,Express,Yes,29,Venmo,Quarterly
2381,41,Male,Scarf,Accessories,66,Pennsylvania,M,Black,Fall,2.5,No,Next Day Air,No,36,PayPal,Fortnightly
2120,58,Male,Jewelry,Accessories,57,Nebraska,M,Indigo,Spring,3.5,No,Store Pickup,No,36,Venmo,Bi-Weekly
3502,53,Female,Shoes,Footwear,87,Nebraska,M,Silver,Fall,4.8,No,Standard,No,43,Bank Transfer,Weekly
3551,63,Female,Shoes,Footwear,74,West Virginia,S,Orange,Winter,4.8,No,Standard,No,32,Cash,Weekly
712,64,Male,Boots,Footwear,60,New Hampshire,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,13,Bank Transfer,Bi-Weekly
1337,23,Male,Sneakers,Footwear,85,Oregon,M,Charcoal,Spring,4.8,No,Store Pickup,Yes,44,Debit Card,Fortnightly
1047,40,Male,Sneakers,Footwear,22,Illinois,M,Magenta,Winter,4.2,Yes,Standard,Yes,12,Venmo,Annually
2225,18,Male,Gloves,Accessories,25,Nebraska,L,Charcoal,Winter,4.3,No,Standard,No,38,Cash,Quarterly
3525,69,Female,Pants,Clothing,74,Michigan,L,Silver,Summer,2.9,No,Free Shipping,No,30,Credit Card,Monthly
4530,20,Male,Watch,Electronics,532.49,New York,,Black,Autumn,,Yes,Standard,Yes,,Debit Card,Monthly
3199,61,Female,Gloves,Accessories,94,Pennsylvania,L,Peach,Winter,2.8,No,Free Shipping,No,39,Debit Card,Weekly
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly
2721,55,Female,Scarf,Accessories,52,Maryland,M,Peach,Spring,2.8,No,Store Pickup,No,45,Bank Transfer,Quarterly
436,51,Male,Coat,Outerwear,28,Montana,XL,Olive,Winter,3.6,Yes,Next Day Air,Yes,42,Bank Transfer,Monthly
387,64,Male,Jewelry,Accessories,39,Louisiana,L,Brown,Spring,3.4,Yes,Express,Yes,40,PayPal,Quarterly
3867,58,Female,Hat,Accessories,32,Alaska,M,Beige,Winter,3.3,No,2-Day Shipping,No,33,Credit Card,Fortnightly
3358,41,Female,Hoodie,Clothing,67,Arkansas,M,Pink,Winter,3.5,No,Free Shipping,No,37,Credit Card,Monthly
608,47,Male,Hoodie,Clothing,23,Indiana,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,44,Cash,Monthly
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly
4712,60,Male,Laptop,Clothing,95.15,Chicago,S,Red,Summer,,No,Standard,No,16,Cash,Monthly
5058,63,Other,Shirt,Electronics,1342.62,Los Angeles,,Blue,Spring,4,Yes,Standard,Yes,,PayPal,Quarterly
2568,19,Male,Sunglasses,Accessories,25,Michigan,XL,Gold,Spring,4.3,No,Store Pickup,No,24,Cash,Fortnightly
4381,53,Female,Watch,Clothing,,Chicago,M,Blue,Summer,3,No,Express,Yes,,PayPal,Monthly
4192,46,Other,Watch,Electronics,105.21,Houston,,Green,Winter,,Yes,Standard,Yes,,PayPal,Monthly
235,20,Male,Gloves,Accessories,39,South Dakota,S,Silver,Summer,3.7,Yes,Next Day Air,Yes,24,Credit Card,Weekly
3699,25,Female,Skirt,Clothing,54,California,XL,Maroon,Spring,4,No,2-Day Shipping,No,4,Venmo,Annually
3215,53,Female,Skirt,Clothing,78,Washington,M,Yellow,Spring,3.1,No,Free Shipping,No,6,Debit Card,Annually
1876,63,Male,Boots,Footwear,71,Tennessee,M,Brown,Winter,3.9,No,Next Day Air,No,6,Credit Card,Quarterly
1625,38,Male,Sweater,Clothing,32,Florida,M,White,Winter,3.6,No,Free Shipping,Yes,40,PayPal,Every 3 Months
1396,47,Male,Scarf,Accessories,32,West Virginia,L,Turquoise,Spring,2.8,No,Next Day Air,Yes,40,PayPal,Bi-Weekly
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually
2168,30,Male,Skirt,Clothing,48,Ohio,L,Green,Winter,4.9,No,Standard,No,33,Venmo,Fortnightly
749,35,Male,Hat,Accessories,39,South Dakota,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,8,Bank Transfer,Quarterly
2507,57,Male,Dress,Clothing,82,New York,XL,Orange,Spring,4.4,No,Free Shipping,No,19,Venmo,Annually
1285,65,Male,Dress,Clothing,93,Arkansas,M,Black,Spring,3.9,No,Express,Yes,38,PayPal,Fortnightly
4047,49,Male,Watch,Electronics,,Phoenix,,White,Summer,5,Yes,Standard,No,,Cash,Weekly
5014,60,Female,Shirt,Accessories,,Phoenix,S,Green,Winter,2,Yes,Standard,Yes,44,Debit Card,Monthly
1195,50,Male,Hoodie,Clothing,46,New York,S,Teal,Winter,3.1,No,2-Day Shipping,Yes,6,Credit Card,Fortnightly
2013,48,Male,Jeans,Clothing,53,Nevada,L,Green,Fall,3.2,No,Store Pickup,No,5,Cash,Fortnightly
4076,57,Other,Watch,Clothing,,Phoenix,M,White,Summer,2,No,Express,No,38,Credit Card,Weekly
2050,68,Male,Boots,Footwear,24,Rhode Island,L,Blue,Fall,2.7,No,Standard,No,15,Venmo,Annually
1306,31,Male,Pants,Clothing,56,Mississippi,XL,Peach,Spring,4.5,No,Express,Yes,2,PayPal,Every 3 Months
5024,38,Other,Bag,Electronics,,Los Angeles,,Green,Summer,,Yes,Express,Yes,,Debit Card,Quarterly
3170,35,Female,T-shirt,Clothing,59,Georgia,M,White,Fall,3.8,No,Free Shipping,No,3,Venmo,Weekly
1116,30,Male,Hat,Accessories,58,New York,S,Peach,Fall,4,No,2-Day Shipping,Yes,37,Cash,Weekly
2317,28,Male,Sneakers,Footwear,39,Montana,L,Yellow,Winter,3.8,No,Standard,No,7,Debit Card,Annually
728,62,Male,Sweater,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,37,Venmo,Every 3 Months
467,38,Male,Jeans,Clothing,24,Vermont,L,Turquoise,Winter,4.6,Yes,Free Shipping,Yes,25,PayPal,Weekly
4235,56,Other,Headphones,Clothing,,New York,S,Red,Spring,,Yes,Express,Yes,,Debit Card,Quarterly
656,20,Male,Handbag,Accessories,36,Mississippi,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,19,Venmo,Monthly
4542,28,Other,Shoes,Electronics,,Houston,,Red,Summer,,Yes,Express,No,,PayPal,Weekly
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually
3681,22,Female,Sunglasses,Accessories,36,Iowa,S,Blue,Winter,2.9,No,Standard,No,30,Debit Card,Quarterly
3715,18,Female,Hat,Accessories,31,New York,S,Peach,Winter,3.9,No,Express,No,35,Credit Card,Weekly
2726,64,Female,Backpack,Accessories,99,Mississippi,S,Violet,Summer,2.7,No,Free Shipping,No,4,Debit Card,Annually
2544,27,Male,Scarf,Accessories,56,West Virginia,L,Peach,Spring,2.7,No,Next Day Air,No,30,PayPal,Bi-Weekly
2834,43,Female,Jeans,Clothing,56,Arkansas,M,Teal,Fall,3.3,No,Free Shipping,No,19,Cash,Monthly
1084,35,Male,Backpack,Accessories,97,Washington,L,Teal,Summer,3.3,No,Store Pickup,Yes,43,Cash,Weekly
2904,38,Female,Scarf,Accessories,39,Delaware,S,Teal,Spring,3.5,No,2-Day Shipping,No,24,Credit Card,Every 3 Months
964,21,Male,Boots,Footwear,63,South Carolina,L,Green,Spring,2.5,Yes,2-Day Shipping,Yes,14,Credit Card,Weekly
299,69,Male,T-shirt,Clothing,53,Maryland,M,Lavender,Winter,4,Yes,Standard,Yes,11,Venmo,Every 3 Months
1327,40,Male,Shoes,Footwear,50,Texas,M,Indigo,Spring,,No,Free Shipping,Yes,17,Cash,Monthly
2789,56,Female,Boots,Footwear,92,Rhode Island,M,Olive,Summer,3.1,No,Free Shipping,No,2,Credit Card,Annually
2321,28,Male,Shoes,Footwear,55,New Mexico,M,Olive,Spring,3.7,No,Free Shipping,No,9,Debit Card,Every 3 Months
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly
771,19,Male,Sneakers,Footwear,54,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,8,Credit Card,Annually
1543,59,Male,Blouse,Clothing,44,Hawaii,M,Maroon,Winter,3.5,No,Next Day Air,Yes,43,PayPal,Weekly
2223,32,Male,Pants,Clothing,66,Georgia,M,Teal,Summer,4.4,No,Store Pickup,No,30,Credit Card,Weekly
3461,41,Female,Scarf,Accessories,78,Indiana,M,Gold,Spring,3.1,No,Express,No,5,Bank Transfer,Bi-Weekly
1952,33,Male,Gloves,Accessories,53,Connecticut,L,Gold,Summer,2.7,No,Next Day Air,No,32,Bank Transfer,Bi-Weekly
4552,57,Male,Shoes,Clothing,,New York,S,Red,Winter,,No,Express,No,,PayPal,Quarterly
1645,68,Male,Coat,Outerwear,90,North Carolina,S,Beige,Summer,3.9,No,Next Day Air,Yes,21,Debit Card,Monthly
510,41,Male,T-shirt,Clothing,80,Delaware,L,Cyan,Summer,3.9,Yes,Free Shipping,Yes,17,Debit Card,Weekly
2854,37,Female,Hat,Accessories,48,Pennsylvania,M,Magenta,Winter,3.2,No,Next Day Air,No,9,PayPal,Weekly
378,63,Male,Scarf,Accessories,32,Maine,M,Silver,Spring,4.1,Yes,Standard,Yes,39,Credit Card,Every 3 Months
827,54,Male,Dress,Clothing,94,Massachusetts,M,Purple,Winter,3.6,Yes,Standard,Yes,36,PayPal,Weekly
4571,40,Other,Shirt,Electronics,450.41,New York,,Black,Autumn,5,Yes,Standard,Yes,,Cash,Quarterly
546,33,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,48,Debit Card,Annually
2085,32,Male,Blouse,Clothing,94,Vermont,S,Brown,Summer,4,No,Standard,No,43,Bank Transfer,Quarterly
641,53,Male,Skirt,Clothing,88,Minnesota,M,Gray,Summer,4.4,Yes,Store Pickup,Yes,28,Debit Card,Fortnightly
5037,41,Female,Watch,Accessories,,New York,S,Green,Summer,2,Yes,Standard,Yes,,Credit Card,Monthly
4843,22,Female,Phone,Electronics,854.96,Los Angeles,,Red,Winter,,No,Standard,Yes,32,PayPal,Quarterly
1771,53,Male,Backpack,Accessories,22,Michigan,M,Pink,Fall,4.3,No,Express,No,34,Bank Transfer,Weekly
1861,18,Male,T-shirt,Clothing,64,Kansas,M,Silver,Summer,4.8,No,Next Day Air,No,4,Credit Card,Monthly
4011,50,Female,Headphones,Clothing,,Los Angeles,S,Blue,Winter,3,No,Standard,Yes,,Debit Card,Quarterly
2915,45,Female,Sweater,Clothing,72,Pennsylvania,M,Yellow,Fall,3.8,No,Express,No,1,Debit Card,Bi-Weekly
5009,35,Male,Watch,Clothing,585.1,New York,M,Green,Autumn,4,Yes,Express,Yes,41,Credit Card,Quarterly
5083,42,Other,Shoes,Electronics,758.1,Houston,,White,Autumn,,No,Standard,No,48,PayPal,Quarterly
2990,46,Female,Belt,Accessories,20,Rhode Island,XL,Teal,Summer,4.3,No,2-Day Shipping,No,6,Credit Card,Weekly
4079,28,Male,Shoes,Electronics,1438.53,Chicago,,White,Spring,1,Yes,Standard,Yes,15,Cash,Monthly
2056,28,Male,Handbag,Accessories,33,Texas,M,Silver,Fall,3.4,No,2-Day Shipping,No,28,Bank Transfer,Weekly
1994,32,Male,Blouse,Clothing,96,Arkansas,S,Purple,Spring,5,No,Express,No,17,Cash,Weekly
4257,60,Other,Bag,Clothing,,Houston,XL,Green,Winter,,Yes,Express,No,11,Cash,Quarterly
2347,22,Male,Jacket,Outerwear,67,New Mexico,L,Brown,Winter,3.1,No,Standard,No,46,Debit Card,Fortnightly
3063,51,Female,Backpack,Accessories,96,California,L,Green,Fall,3.3,No,Standard,No,39,PayPal,Monthly
1967,67,Male,Jacket,Outerwear,95,Indiana,XL,Purple,Winter,3.7,No,Express,No,5,Credit Card,Fortnightly
2131,25,Male,Backpack,Accessories,68,Arizona,L,Violet,Summer,3.7,No,Free Shipping,No,33,Credit Card,Annually
4171,23,Male,Phone,Clothing,495.98,Phoenix,M,Green,Autumn,,Yes,Standard,No,,Debit Card,Weekly
818,25,Male,Handbag,Accessories,21,Nevada,S,Gray,Spring,4.7,Yes,Store Pickup,Yes,30,PayPal,Fortnightly
3336,44,Female,Hat,Accessories,94,Texas,XL,Cyan,Winter,3.5,No,Express,No,48,Bank Transfer,Quarterly
